Time(ms),FR_HFE,FL_HFE,HR_HFE,HL_HFE,FR_KFE,FL_KFE,HR_KFE,HL_KFE
0.02,-0.4185081124305725,-0.001464814879000187,-0.4185681939125061,-0.001464814879000187,-0.4185081124305725,-0.0014648176729679108,-0.4185681939125061,-0.0014648176729679108
0.04,-0.3571830987930298,0.11049778014421463,-0.3654162287712097,-0.04760704189538956,-0.38209131360054016,0.20264774560928345,-0.40468519926071167,-0.08682162314653397
0.06,-0.3359607756137848,-0.1254919171333313,-0.3327464759349823,-0.19953328371047974,-0.40190452337265015,-0.27470993995666504,-0.34367287158966064,-0.06923477351665497
0.08,-0.33504074811935425,-0.07017411291599274,-0.3371235728263855,-0.1060681939125061,-0.2713456451892853,-0.029545221477746964,-0.3263442814350128,-0.2261611968278885
0.1,-0.2765670120716095,0.2485310137271881,-0.2675117254257202,0.3626224994659424,-0.287149578332901,0.09555374830961227,-0.26321637630462646,0.04006040096282959
0.12,-0.2413729876279831,-0.10429675877094269,-0.25076067447662354,0.2144152820110321,-0.2537485957145691,-0.07650835812091827,-0.29161110520362854,0.2967592477798462
0.14,-0.229254350066185,-0.016975775361061096,-0.22914084792137146,0.22293804585933685,-0.2786737084388733,0.18239501118659973,-0.2301073521375656,0.33531132340431213
0.16,-0.2381903976202011,-0.06936781108379364,-0.31973254680633545,-0.34103211760520935,-0.20220239460468292,-0.2518414258956909,-0.21975761651992798,0.1661440134048462
0.18,-0.21109914779663086,-0.04963259398937225,-0.19404739141464233,-0.07551772892475128,-0.26575082540512085,-0.20496174693107605,-0.25267019867897034,-0.25606289505958557
0.2,-0.4420648217201233,0.8370397686958313,-0.6366044878959656,1.1290977001190186,-0.2411857694387436,0.6797155141830444,-0.34854966402053833,0.9576472043991089
0.22,-0.43601614236831665,1.0332810878753662,-0.5992487668991089,1.0111303329467773,-0.2941642701625824,0.5532592535018921,-0.36858266592025757,0.8883630037307739
0.24,-0.2841830253601074,0.7749202251434326,-0.3631715178489685,1.0226513147354126,-0.17198966443538666,0.6665753126144409,-0.2851933538913727,0.8729636669158936
0.26,-0.27378809452056885,0.7339104413986206,-0.33477190136909485,1.032000184059143,-0.14289608597755432,0.7471965551376343,-0.2704596519470215,0.8302435278892517
0.28,-0.28030046820640564,0.9459987282752991,-0.3087007403373718,1.1633102893829346,-0.17659690976142883,0.8078320026397705,-0.2199982851743698,0.6627508997917175
0.3,-0.20338015258312225,0.6558084487915039,-0.3175112009048462,0.9199435114860535,-0.10756658017635345,0.8449696898460388,-0.19543933868408203,0.7901753187179565
0.32,-0.1739133596420288,0.6886459589004517,-0.25858789682388306,1.0998259782791138,-0.08891315758228302,0.5626125931739807,-0.22119063138961792,0.6900489330291748
0.34,-0.14688655734062195,0.9908275604248047,-0.23927423357963562,0.8938011527061462,-0.07814517617225647,0.8693826198577881,-0.1708904504776001,0.839725911617279
