Time(ms),FR_HFE,FL_HFE,HR_HFE,HL_HFE,FR_KFE,FL_KFE,HR_KFE,HL_KFE
0.02,0.7992054224014282,-1.4000334739685059,0.7992054224014282,-1.4000334739685059,0.7992009520530701,-1.4000332355499268,0.7992009520530701,-1.4000332355499268
0.04,0.7978147268295288,-1.3997284173965454,0.7977902293205261,-1.400254487991333,0.7977197766304016,-1.3994208574295044,0.7976494431495667,-1.4003840684890747
0.06,0.7958978414535522,-1.3998701572418213,0.7958616018295288,-1.4011688232421875,0.7954946160316467,-1.3997511863708496,0.7955436110496521,-1.4009943008422852
0.08,0.7934576869010925,-1.400274634361267,0.7934035658836365,-1.4024654626846313,0.7929501533508301,-1.4002093076705933,0.7929415702819824,-1.4023863077163696
0.1,0.7906814217567444,-1.3998817205429077,0.7906392216682434,-1.4025851488113403,0.7900344133377075,-1.400378942489624,0.7900474667549133,-1.403674840927124
0.12,0.7876852750778198,-1.3998658657073975,0.7876222729682922,-1.4020212888717651,0.786855936050415,-1.400833010673523,0.7867650389671326,-1.404005527496338
0.14,0.7845062017440796,-1.3999366760253906,0.7844220399856567,-1.4007457494735718,0.783330500125885,-1.4007099866867065,0.7832933664321899,-1.4032505750656128
0.16,0.7811142206192017,-1.4002684354782104,0.7807452082633972,-1.400634765625,0.779708743095398,-1.4014555215835571,0.7796649932861328,-1.4019731283187866
0.18,0.7814642190933228,-1.4203600883483887,0.7833654284477234,-1.4247044324874878,0.7768436670303345,-1.4161874055862427,0.7785881757736206,-1.420168161392212
0.2,0.7820324897766113,-1.4382023811340332,0.785951554775238,-1.445778489112854,0.7737092971801758,-1.4286830425262451,0.776892900466919,-1.4352011680603027
0.22,0.7801769971847534,-1.4558850526809692,0.7855914235115051,-1.4666497707366943,0.7693173289299011,-1.4424548149108887,0.7742477655410767,-1.452268362045288
0.24,0.7777294516563416,-1.4733093976974487,0.7846253514289856,-1.4870232343673706,0.7646444439888,-1.4559179544448853,0.7712821364402771,-1.4689198732376099
0.26,0.7747346758842468,-1.4904800653457642,0.7830329537391663,-1.5070271492004395,0.7595822215080261,-1.4692013263702393,0.7678908705711365,-1.4854212999343872
0.28,0.7709389328956604,-1.5066839456558228,0.7808452248573303,-1.5264779329299927,0.7541331648826599,-1.4822862148284912,0.7642917037010193,-1.5021308660507202
0.3,0.7666299343109131,-1.5227819681167603,0.7781601548194885,-1.5460671186447144,0.7482272982597351,-1.495255947113037,0.7602946758270264,-1.518885612487793
0.32,0.7618182897567749,-1.538745403289795,0.7748406529426575,-1.5653973817825317,0.742189347743988,-1.5088342428207397,0.7559316754341125,-1.5360448360443115
0.34,0.7562245726585388,-1.5537408590316772,0.7711134552955627,-1.5850480794906616,0.7358709573745728,-1.5222697257995605,0.7513010501861572,-1.5532315969467163
0.36,0.7500677108764648,-1.5686376094818115,0.7667608857154846,-1.6038424968719482,0.7292171120643616,-1.5359536409378052,0.7464231252670288,-1.570959210395813
0.38,0.7435635924339294,-1.5835777521133423,0.7618864178657532,-1.6225262880325317,0.7224326729774475,-1.5499382019042969,0.7412915825843811,-1.588927149772644
0.4,0.7367616295814514,-1.598654866218567,0.7564206719398499,-1.64106285572052,0.7152650952339172,-1.5640523433685303,0.7357747554779053,-1.6068682670593262
0.42,0.7295263409614563,-1.613561987876892,0.750566303730011,-1.6595103740692139,0.7078412771224976,-1.5782356262207031,0.7297405004501343,-1.6247649192810059
0.44,0.7218266129493713,-1.628124713897705,0.744064211845398,-1.677990436553955,0.6999164819717407,-1.5923986434936523,0.7234336137771606,-1.643074870109558
0.46,0.7135622501373291,-1.6423604488372803,0.7370307445526123,-1.696299433708191,0.6918766498565674,-1.607201337814331,0.7169314026832581,-1.662011742591858
0.48,0.704675018787384,-1.6561684608459473,0.7295156717300415,-1.7146567106246948,0.6833482384681702,-1.6219630241394043,0.7101864814758301,-1.6816383600234985
0.5,0.6950505971908569,-1.6698040962219238,0.7214834690093994,-1.7329678535461426,0.6746459007263184,-1.6371272802352905,0.7030826807022095,-1.7015070915222168
0.52,0.685001015663147,-1.6828211545944214,0.7127887010574341,-1.7508649826049805,0.6658946871757507,-1.6527928113937378,0.695667564868927,-1.722030758857727
0.54,0.6745383739471436,-1.6958016157150269,0.7032943964004517,-1.7691259384155273,0.6567752361297607,-1.668523907661438,0.6876528263092041,-1.7430092096328735
0.56,0.6636312007904053,-1.7085515260696411,0.6933445334434509,-1.7873951196670532,0.6476011276245117,-1.6848974227905273,0.6791240572929382,-1.7649381160736084
0.58,0.6524961590766907,-1.7207928895950317,0.6830374002456665,-1.8064216375350952,0.6383874416351318,-1.7021174430847168,0.6698025465011597,-1.7877453565597534
0.6,0.6408144235610962,-1.733441710472107,0.672023355960846,-1.8252791166305542,0.6281169652938843,-1.7193846702575684,0.6603513956069946,-1.8113278150558472
0.62,0.6289235949516296,-1.7463597059249878,0.6605107188224792,-1.8438658714294434,0.6170439124107361,-1.7370145320892334,0.6506504416465759,-1.8356194496154785
0.64,0.6162929534912109,-1.7587487697601318,0.6487149000167847,-1.8620892763137817,0.6056687831878662,-1.7548614740371704,0.6402731537818909,-1.8602079153060913
0.66,0.6046807765960693,-1.7680145502090454,0.6356879472732544,-1.8818926811218262,0.5938432216644287,-1.7745094299316406,0.6287558078765869,-1.8843295574188232
0.68,0.5912144780158997,-1.7795928716659546,0.6225967407226562,-1.899865746498108,0.5822216272354126,-1.7929377555847168,0.6169993877410889,-1.9104641675949097
0.7000000000000001,0.5775668621063232,-1.7907058000564575,0.6085855960845947,-1.9179242849349976,0.5703346729278564,-1.8122758865356445,0.6045666933059692,-1.9375988245010376
0.72,0.5638662576675415,-1.8018150329589844,0.5943136215209961,-1.9360861778259277,0.5574784874916077,-1.8322327136993408,0.591223418712616,-1.965375542640686
0.74,0.5501114726066589,-1.8123706579208374,0.5792551040649414,-1.954467535018921,0.5447943210601807,-1.852771520614624,0.5763379335403442,-1.9935545921325684
