Time(ms),Base_X,Base_Y,Base_Z,Roll,Pitch,Yaw
0.02,-1.839917058532592e-05,-1.1576871683516288e-09,0.3960927128791809,3.1415927410125732,-7.864973304094747e-05,5.552105619699432e-08
0.04,-5.125278767081909e-05,-5.688006581294758e-07,0.38827651739120483,3.141587972640991,-0.00023631980002392083,2.400981065875385e-05
0.06,-9.807009337237105e-05,-1.8233066612083348e-06,0.3765489459037781,3.1415693759918213,-0.00047189847100526094,7.923218072392046e-05
0.08,-0.0001562137622386217,-3.2729644772189204e-06,0.36090725660324097,3.1415488719940186,-0.0007517868652939796,0.0001423341454938054
0.1,-0.0002211205573985353,-5.187194801692385e-06,0.3413497507572174,3.1415212154388428,-0.0010582366958260536,0.0002254514256492257
0.12,-0.00029198298580013216,-6.884065442136489e-06,0.3178742825984955,3.1414899826049805,-0.0014000593218952417,0.0003002803132403642
0.14,-0.000367229338735342,-8.89941929926863e-06,0.29048046469688416,3.1414501667022705,-0.0017686478095129132,0.0003893136454280466
0.16,-0.00044891255674883723,-1.058686484611826e-05,0.25916677713394165,3.1414132118225098,-0.0021530131343752146,0.0004638532118406147
0.18,-0.0031025204807519913,-0.00032869065762497485,0.259474515914917,3.141409158706665,-0.0028369396459311247,0.0017204651376232505
0.2,-0.006244983524084091,-0.0006506374920718372,0.25699397921562195,3.1413657665252686,0.000348618341377005,0.0029364214278757572
0.22,-0.008830616250634193,-0.0009224412497133017,0.2555652856826782,3.141387462615967,-0.0018494612304493785,0.003996311221271753
0.24,-0.011535562574863434,-0.001193973352201283,0.2539999186992645,3.141395330429077,-0.0034627211280167103,0.005068384110927582
0.26,-0.014328024350106716,-0.0014768012333661318,0.25237444043159485,3.141383647918701,-0.004950279835611582,0.006221182644367218
0.28,-0.017238624393939972,-0.001797279343008995,0.250713974237442,3.1413705348968506,-0.006117644719779491,0.007551146205514669
0.3,-0.020243333652615547,-0.0021390400361269712,0.24898174405097961,3.141350746154785,-0.007218178361654282,0.008991504088044167
