Time(ms),FR_HFE,FL_HFE,HR_HFE,HL_HFE,FR_KFE,FL_KFE,HR_KFE,HL_KFE
0.02,-0.03972940146923065,-0.0016774169635027647,-0.03972923755645752,-0.0016774216201156378,-0.039952538907527924,-0.0016652628546580672,-0.03995244950056076,-0.0016652672784402966
0.04,-0.06953423470258713,0.015255408361554146,-0.07075940817594528,-0.01105108205229044,-0.07405899465084076,0.03062083199620247,-0.07757493853569031,-0.01753876730799675
0.06,-0.09584424644708633,-0.0070880502462387085,-0.09643256664276123,-0.0457179956138134,-0.11125903576612473,-0.01651686057448387,-0.10529138147830963,-0.030510157346725464
0.08,-0.12200810015201569,-0.02022542618215084,-0.12290050089359283,-0.06483077257871628,-0.1272220015525818,-0.022908667102456093,-0.13010253012180328,-0.06960222870111465
0.1,-0.13881273567676544,0.01964721269905567,-0.13821840286254883,-0.0059834751300513744,-0.14578655362129211,-0.00848332792520523,-0.14470534026622772,-0.06442432850599289
0.12,-0.14980706572532654,0.0007932948064990342,-0.15084776282310486,0.028191905468702316,-0.1589224636554718,-0.022706326097249985,-0.1641213744878769,-0.01653231307864189
0.14,-0.15895484387874603,-0.0035376176238059998,-0.16001126170158386,0.06377521902322769,-0.17627055943012238,0.006152835674583912,-0.17358481884002686,0.03774729371070862
0.16,-0.16959775984287262,-0.016589675098657608,-0.18384242057800293,0.005546870641410351,-0.1810867190361023,-0.037274692207574844,-0.18141914904117584,0.06387007236480713
0.18,0.017498603090643883,-1.0045808553695679,0.13101139664649963,-1.2034817934036255,-0.1432534009218216,-0.7365949153900146,-0.05384217947721481,-0.9097544550895691
0.2,0.02841329760849476,-0.8921170830726624,0.12930525839328766,-1.0537010431289673,-0.15671712160110474,-0.6247791647911072,-0.08476269245147705,-0.7516523599624634
0.22,-0.092774398624897,-0.8841344714164734,-0.01800689287483692,-1.043563723564148,-0.21959835290908813,-0.6885870099067688,-0.13225580751895905,-0.8533613085746765
0.24,-0.1223771721124649,-0.8712184429168701,-0.04830450564622879,-1.0186761617660522,-0.23364290595054626,-0.6731551885604858,-0.14828217029571533,-0.8325760960578918
0.26,-0.14973893761634827,-0.858530580997467,-0.07961869984865189,-1.000198245048523,-0.2531116306781769,-0.6641665101051331,-0.16956199705600739,-0.8250694274902344
0.28,-0.189788356423378,-0.8101953268051147,-0.10938572883605957,-0.9725417494773865,-0.272452712059021,-0.6542417407035828,-0.17995943129062653,-0.8354809284210205
0.3,-0.21544861793518066,-0.8049015402793884,-0.134253591299057,-0.9794600605964661,-0.29529237747192383,-0.6484891772270203,-0.19985033571720123,-0.8377376794815063
0.32,-0.24058184027671814,-0.798172116279602,-0.1659764051437378,-0.9665111899375916,-0.3018963038921356,-0.6789142489433289,-0.2181503176689148,-0.8579587936401367
0.34,-0.27968454360961914,-0.7497701644897461,-0.18635840713977814,-0.9825336933135986,-0.3159198760986328,-0.6717767715454102,-0.23153141140937805,-0.8593394160270691
0.36,-0.3078438341617584,-0.7448391914367676,-0.21762897074222565,-0.9397188425064087,-0.3326927423477173,-0.6841976046562195,-0.24389700591564178,-0.8863815069198608
0.38,-0.325204461812973,-0.7470054626464844,-0.24372461438179016,-0.9341871738433838,-0.33922141790390015,-0.6992274522781372,-0.2565767168998718,-0.8983967900276184
0.4,-0.34009742736816406,-0.753855288028717,-0.2732865512371063,-0.9268265962600708,-0.3583775758743286,-0.705707311630249,-0.2758415639400482,-0.8970563411712646
0.42,-0.3617634177207947,-0.7453566789627075,-0.2927185595035553,-0.9223738312721252,-0.37119078636169434,-0.7091615200042725,-0.3017125427722931,-0.8948330283164978
